state,district,member,party,start,end
Alabama,1,"Bonner, Jo", R,1/3/2013,8/2/2013
Alabama,1,"Byrne, Bradley", R,1/7/2014,1/3/2015
Alabama,2,"Roby, Martha", R,1/3/2013,1/3/2015
Alabama,3,"Rogers, Mike D.", R,1/3/2013,1/3/2015
Alabama,4,"Aderholt, Robert", R,1/3/2013,1/3/2015
Alabama,5,"Brooks, Mo", R,1/3/2013,1/3/2015
Alabama,6,"Bachus, Spencer", R,1/3/2013,1/3/2015
Alabama,7,"Sewell, Terri", D,1/3/2013,1/3/2015
Alaska,1,"Young, Don", R,1/3/2013,1/3/2015
Arizona,1,"Kirkpatrick, Ann", D,1/3/2013,1/3/2015
Arizona,2,"Barber, Ron", D,1/3/2013,1/3/2015
Arizona,3,"Grijalva, Raúl", D,1/3/2013,1/3/2015
Arizona,4,"Gosar, Paul", R,1/3/2013,1/3/2015
Arizona,5,"Salmon, Matt", R,1/3/2013,1/3/2015
Arizona,6,"Schweikert, David", R,1/3/2013,1/3/2015
Arizona,7,"Pastor, Ed", D,1/3/2013,1/3/2015
Arizona,8,"Franks, Trent", R,1/3/2013,1/3/2015
Arizona,9,"Sinema, Kyrsten", D,1/3/2013,1/3/2015
Arkansas,1,"Crawford, Rick", R,1/3/2013,1/3/2015
Arkansas,2,"Griffin, Tim", R,1/3/2013,1/3/2015
Arkansas,3,"Womack, Steve", R,1/3/2013,1/3/2015
Arkansas,4,"Cotton, Tom", R,1/3/2013,1/3/2015
California,1,"LaMalfa, Doug", R,1/3/2013,1/3/2015
California,2,"Huffman, Jared", D,1/3/2013,1/3/2015
California,3,"Garamendi, John", D,1/3/2013,1/3/2015
California,4,"McClintock, Tom", R,1/3/2013,1/3/2015
California,5,"Thompson, Mike", D,1/3/2013,1/3/2015
California,6,"Matsui, Doris", D,1/3/2013,1/3/2015
California,7,"Bera, Ami", D,1/3/2013,1/3/2015
California,8,"Cook, Paul", R,1/3/2013,1/3/2015
California,9,"McNerney, Jerry", D,1/3/2013,1/3/2015
California,10,"Denham, Jeff", R,1/3/2013,1/3/2015
California,11,"Miller, George", D,1/3/2013,1/3/2015
California,12,"Pelosi, Nancy", D,1/3/2013,1/3/2015
California,13,"Lee, Barbara", D,1/3/2013,1/3/2015
California,14,"Speier, Jackie", D,1/3/2013,1/3/2015
California,15,"Swalwell, Eric", D,1/3/2013,1/3/2015
California,16,"Costa, Jim", D,1/3/2013,1/3/2015
California,17,"Honda, Mike", D,1/3/2013,1/3/2015
California,18,"Eshoo, Anna", D,1/3/2013,1/3/2015
California,19,"Lofgren, Zoe", D,1/3/2013,1/3/2015
California,20,"Farr, Sam", D,1/3/2013,1/3/2015
California,21,"Valadao, David", R,1/3/2013,1/3/2015
California,22,"Nunes, Devin", R,1/3/2013,1/3/2015
California,23,"McCarthy, Kevin", R,1/3/2013,1/3/2015
California,24,"Capps, Lois", D,1/3/2013,1/3/2015
California,25,"McKeon, Buck", R,1/3/2013,1/3/2015
California,26,"Brownley, Julia", D,1/3/2013,1/3/2015
California,27,"Chu, Judy", D,1/3/2013,1/3/2015
California,28,"Schiff, Adam", D,1/3/2013,1/3/2015
California,29,"Cardenas, Tony", D,1/3/2013,1/3/2015
California,30,"Sherman, Brad", D,1/3/2013,1/3/2015
California,31,"Miller, Gary", R,1/3/2013,1/3/2015
California,32,"Napolitano, Grace", D,1/3/2013,1/3/2015
California,33,"Waxman, Henry", D,1/3/2013,1/3/2015
California,34,"Becerra, Xavier", D,1/3/2013,1/3/2015
California,35,"Negrete, Gloria", D,1/3/2013,1/3/2015
California,36,"Ruiz, Raul", D,1/3/2013,1/3/2015
California,37,"Bass, Karen", D,1/3/2013,1/3/2015
California,38,"Sanchez, Linda", D,1/3/2013,1/3/2015
California,39,"Royce, Ed", R,1/3/2013,1/3/2015
California,40,"Roybal-Allard, Lucille", D,1/3/2013,1/3/2015
California,41,"Takano, Mark", D,1/3/2013,1/3/2015
California,42,"Calvert, Ken", R,1/3/2013,1/3/2015
California,43,"Waters, Maxine", D,1/3/2013,1/3/2015
California,44,"Hahn, Janice", D,1/3/2013,1/3/2015
California,45,"Campbell, John B.T.", R,1/3/2013,1/3/2015
California,46,"Sanchez, Loretta", D,1/3/2013,1/3/2015
California,47,"Lowenthal, Alan", D,1/3/2013,1/3/2015
California,48,"Rohrabacher, Dana", R,1/3/2013,1/3/2015
California,49,"Issa, Darrell", R,1/3/2013,1/3/2015
California,50,"Hunter, Duncan D.", R,1/3/2013,1/3/2015
California,51,"Vargas, Juan", D,1/3/2013,1/3/2015
California,52,"Peters, Scott", D,1/3/2013,1/3/2015
California,53,"Davis, Susan", D,1/3/2013,1/3/2015
Colorado,1,"DeGette, Diana", D,1/3/2013,1/3/2015
Colorado,2,"Polis, Jared", D,1/3/2013,1/3/2015
Colorado,3,"Tipton, Scott", R,1/3/2013,1/3/2015
Colorado,4,"Gardner, Cory", R,1/3/2013,1/3/2015
Colorado,5,"Lamborn, Doug", R,1/3/2013,1/3/2015
Colorado,6,"Coffman, Mike", R,1/3/2013,1/3/2015
Colorado,7,"Perlmutter, Ed", D,1/3/2013,1/3/2015
Connecticut,1,"Larson, John", D,1/3/2013,1/3/2015
Connecticut,2,"Courtney, Joe", D,1/3/2013,1/3/2015
Connecticut,3,"DeLauro, Rosa", D,1/3/2013,1/3/2015
Connecticut,4,"Himes, Jim", D,1/3/2013,1/3/2015
Connecticut,5,"Esty, Elizabeth", D,1/3/2013,1/3/2015
Delaware,1,"Carney, John", D,1/3/2013,1/3/2015
Florida,1,"Miller, Jeff", R,1/3/2013,1/3/2015
Florida,2,"Southerland, Steve", R,1/3/2013,1/3/2015
Florida,3,"Yoho, Ted", R,1/3/2013,1/3/2015
Florida,4,"Crenshaw, Ander", R,1/3/2013,1/3/2015
Florida,5,"Brown, Corrine", D,1/3/2013,1/3/2015
Florida,6,"DeSantis, Ron", R,1/3/2013,1/3/2015
Florida,7,"Mica, John", R,1/3/2013,1/3/2015
Florida,8,"Posey, Bill", R,1/3/2013,1/3/2015
Florida,9,"Grayson, Alan", D,1/3/2013,1/3/2015
Florida,10,"Webster, Daniel", R,1/3/2013,1/3/2015
Florida,11,"Nugent, Rich", R,1/3/2013,1/3/2015
Florida,12,"Bilirakis, Gus", R,1/3/2013,1/3/2015
