Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 3429,https://www.congress.gov/bill/116th-congress/house-bill/3429,116th Congress (2019-2020),,HEARTS and Rural Relief Act,"Rep. Sewell, Terri A. [D-AL-7]",06/24/2019,,,,2,"House - Energy and Commerce, Ways and Means, Armed Services",06/26/2019,Ordered to be Reported in the Nature of a Substitute by Voice Vote.
H.R. 3352,https://www.congress.gov/bill/116th-congress/house-bill/3352,116th Congress (2019-2020),,Department of State Authorization Act of 2019,"Rep. Engel, Eliot L. [D-NY-16]",06/19/2019,,,,1,House - Foreign Affairs | Senate - Foreign Relations,09/09/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 3304,https://www.congress.gov/bill/116th-congress/house-bill/3304,116th Congress (2019-2020),,National Guard and Reservists Debt Relief Extension Act of 2019,"Rep. Cohen, Steve [D-TN-9]",06/18/2019,,,,3,House - Judiciary,08/23/2019,Became Public Law No: 116-53.
H.R. 3275,https://www.congress.gov/bill/116th-congress/house-bill/3275,116th Congress (2019-2020),,"To designate the facility of the United States Postal Service located at 340 Wetmore Avenue in Grand River, Ohio, as the ""Lance Corporal Andy 'Ace' Nowacki Post Office"".","Rep. Joyce, David P. [R-OH-14]",06/13/2019,,,,15,House - Oversight and Reform,12/19/2019,Committee Consideration and Mark-up Session Held.
H.R. 3207,https://www.congress.gov/bill/116th-congress/house-bill/3207,116th Congress (2019-2020),,"To designate the facility of the United States Postal Service located at 114 Mill Street in Hookstown, Pennsylvania, as the ""Staff Sergeant Dylan Elchin Post Office Building"".","Rep. Lamb, Conor [D-PA-17]",06/11/2019,,,,17,House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs,03/12/2020,Placed on Senate Legislative Calendar under General Orders. Calendar No. 446.
H.R. 3190,https://www.congress.gov/bill/116th-congress/house-bill/3190,116th Congress (2019-2020),,Burma Unified through Rigorous Military Accountability Act of 2019,"Rep. Engel, Eliot L. [D-NY-16]",06/11/2019,,,,54,"House - Foreign Affairs, Armed Services, Judiciary, Financial Services, Ways and Means | Senate - Foreign Relations",09/25/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 2938,https://www.congress.gov/bill/116th-congress/house-bill/2938,116th Congress (2019-2020),,HAVEN Act,"Rep. McBath, Lucy [D-GA-6]",05/23/2019,,,,38,House - Judiciary,08/23/2019,Became Public Law No: 116-52.
H.R. 2881,https://www.congress.gov/bill/116th-congress/house-bill/2881,116th Congress (2019-2020),,Secure 5G and Beyond Act of 2020,"Rep. Spanberger, Abigail Davis [D-VA-7]",05/21/2019,,,,27,"House - Energy and Commerce, Foreign Affairs",01/09/2020,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 403.
H.R. 2847,https://www.congress.gov/bill/116th-congress/house-bill/2847,116th Congress (2019-2020),,No Passport Fees for Heroes' Families Act,"Rep. Mitchell, Paul [R-MI-10]",05/20/2019,,,,27,House - Foreign Affairs,03/04/2020,Ordered to be Reported by Voice Vote.
H.R. 2820,https://www.congress.gov/bill/116th-congress/house-bill/2820,116th Congress (2019-2020),,Dream Act of 2019,"Rep. Roybal-Allard, Lucille [D-CA-40]",05/17/2019,,,,0,House - Judiciary,05/30/2019,"Placed on the Union Calendar, Calendar No. 73."
