Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 1140,https://www.congress.gov/bill/116th-congress/house-bill/1140,116th Congress (2019-2020),,Rights for Transportation Security Officers Act of 2020,"Rep. Thompson, Bennie G. [D-MS-2]",02/11/2019,,,,242,"House - Homeland Security, Oversight and Reform | Senate - Commerce, Science, and Transportation",03/05/2020,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
H.R. 1088,https://www.congress.gov/bill/116th-congress/house-bill/1088,116th Congress (2019-2020),,FIRST Act,"Rep. Marshall, Roger W. [R-KS-1]",02/07/2019,,,,0,House - Natural Resources | Senate - Energy and Natural Resources,11/21/2019,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
H.R. 1076,https://www.congress.gov/bill/116th-congress/house-bill/1076,116th Congress (2019-2020),,Fair Chance Act,"Rep. Cummings, Elijah E. [D-MD-7]",02/07/2019,,,,25,"House - Oversight and Reform, House Administration, Judiciary, Armed Services, Education and Labor",01/24/2020,"Placed on the Union Calendar, Calendar No. 301."
H.R. 1004,https://www.congress.gov/bill/116th-congress/house-bill/1004,116th Congress (2019-2020),,Prohibiting Unauthorized Military Action in Venezuela Act,"Rep. Cicilline, David N. [D-RI-1]",02/06/2019,,,,78,"House - Armed Services, Foreign Affairs",04/09/2019,Committee Consideration and Mark-up Session Held.
H.R. 920,https://www.congress.gov/bill/116th-congress/house-bill/920,116th Congress (2019-2020),,Venezuela Arms Restriction Act,"Rep. Shalala, Donna E. [D-FL-27]",01/30/2019,,,,14,House - Foreign Affairs | Senate - Foreign Relations,03/26/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 829,https://www.congress.gov/bill/116th-congress/house-bill/829,116th Congress (2019-2020),,"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the ""Army Specialist Thomas J. Wilwerth Post Office Building"".","Rep. Zeldin, Lee M. [R-NY-1]",01/28/2019,,,,26,House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs,08/21/2019,Became Public Law No: 116-44.
H.R. 739,https://www.congress.gov/bill/116th-congress/house-bill/739,116th Congress (2019-2020),,Cyber Diplomacy Act of 2019,"Rep. McCaul, Michael T. [R-TX-10]",01/24/2019,,,,29,House - Foreign Affairs,03/07/2019,"Committee Agreed to Seek Consideration Under Suspension of the Rules,."
H.R. 598,https://www.congress.gov/bill/116th-congress/house-bill/598,116th Congress (2019-2020),,Georgia Support Act,"Rep. Connolly, Gerald E. [D-VA-11]",01/16/2019,,,,30,"House - Foreign Affairs, Judiciary, Ways and Means | Senate - Foreign Relations",10/23/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 367,https://www.congress.gov/bill/116th-congress/house-bill/367,116th Congress (2019-2020),,Pay Our Coast Guard Parity Act of 2019,"Rep. DeFazio, Peter A. [D-OR-4]",01/09/2019,,,,186,"House - Appropriations, Transportation and Infrastructure",06/11/2019,"Reported (Amended) by the Committee on Transportation and Infrastructure. H. Rept. 116-110, Part I."
H.R. 149,https://www.congress.gov/bill/116th-congress/house-bill/149,116th Congress (2019-2020),,Housing Fairness Act of 2019,"Rep. Green, Al [D-TX-9]",01/03/2019,,,,10,House - Financial Services,02/28/2020,Ordered to be Reported (Amended) by the Yeas and Nays: 33 - 25.
H.R. 1,https://www.congress.gov/bill/116th-congress/house-bill/1,116th Congress (2019-2020),,For the People Act of 2019,"Rep. Sarbanes, John P. [D-MD-3]",01/03/2019,,,,236,"House - House Administration, Intelligence (Permanent), Judiciary, Oversight and Reform, Science, Space, and Technology, Education and Labor, Ways and Means, Financial Services, Ethics, Homeland Security",03/14/2019,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 39.
H.R. 1158,https://www.congress.gov/bill/116th-congress/house-bill/1158,116th Congress (2019-2020),,"Consolidated Appropriations Act, 2020","Rep. McCaul, Michael T. [R-TX-10]",02/13/2019,,,,4,House - Homeland Security,12/20/2019,Became Public Law No: 116-93.
H.R. 6780,https://www.congress.gov/bill/115th-congress/house-bill/6780,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 7521 Paula Drive in Tampa, Florida, as the ""Major Andreas O'Keeffe Post Office Building"".","Rep. Castor, Kathy [D-FL-14]",09/12/2018,,,,25,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/21/2018,Became Public Law No: 115-381.
H.R. 6760,https://www.congress.gov/bill/115th-congress/house-bill/6760,115th Congress (2017-2018),,Protecting Family and Small Business Tax Cuts Act of 2018,"Rep. Davis, Rodney [R-IL-13]",09/10/2018,,,,40,House - Ways and Means | Senate - Finance,10/01/2018,Received in the Senate and Read twice and referred to the Committee on Finance.
H.R. 6757,https://www.congress.gov/bill/115th-congress/house-bill/6757,115th Congress (2017-2018),,Family Savings Act of 2018,"Rep. Kelly, Mike [R-PA-3]",09/10/2018,,,,29,"House - Ways and Means, Education and the Workforce | Senate - Finance",09/28/2018,Received in the Senate and Read twice and referred to the Committee on Finance.
H.R. 6621,https://www.congress.gov/bill/115th-congress/house-bill/6621,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 530 East Main Street in Johnson City, Tennessee, as the ""Major Homer L. Pease Post Office"".","Rep. Roe, David P. [R-TN-1]",07/26/2018,,,,8,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-378.
H.R. 6378,https://www.congress.gov/bill/115th-congress/house-bill/6378,115th Congress (2017-2018),,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2018,"Rep. Brooks, Susan W. [R-IN-5]",07/16/2018,,,,24,"House - Energy and Commerce, Judiciary, Veterans' Affairs, Homeland Security",09/26/2018,Received in the Senate.
H.R. 6287,https://www.congress.gov/bill/115th-congress/house-bill/6287,115th Congress (2017-2018),,9/11 Memorial Act,"Rep. MacArthur, Thomas [R-NJ-3]",06/28/2018,,,,50,House - Natural Resources,01/03/2019,Became Public Law No: 115-413.
H.R. 6217,https://www.congress.gov/bill/115th-congress/house-bill/6217,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 241 N 4th Street in Grand Junction, Colorado, as the ""Deputy Sheriff Derek Geer Post Office Building"".","Rep. Tipton, Scott  R. [R-CO-3]",06/25/2018,,,,6,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-367.
H.R. 6216,https://www.congress.gov/bill/115th-congress/house-bill/6216,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 3025 Woodgate Road in Montrose, Colorado, as the ""Sergeant David Kinterknecht Post Office"".","Rep. Tipton, Scott  R. [R-CO-3]",06/25/2018,,,,6,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-366.
H.R. 6167,https://www.congress.gov/bill/115th-congress/house-bill/6167,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 5707 South Cass Avenue in Westmont, Illinois, as the ""James William Robinson Jr. Memorial Post Office Building"".","Rep. Roskam, Peter J. [R-IL-6]",06/20/2018,,,,17,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-365.
H.R. 6116,https://www.congress.gov/bill/115th-congress/house-bill/6116,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 362 North Ross Street in Beaverton, Michigan, as the ""Colonel Alfred Asch Post Office"".","Rep. Moolenaar, John R. [R-MI-4]",06/14/2018,,,,12,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-297.
H.R. 6020,https://www.congress.gov/bill/115th-congress/house-bill/6020,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 325 South Michigan Avenue in Howell, Michigan, as the ""Sergeant Donald Burgett Post Office Building"".","Rep. Bishop, Mike [R-MI-8]",06/06/2018,,,,12,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/21/2018,Became Public Law No: 115-362.
H.R. 6018,https://www.congress.gov/bill/115th-congress/house-bill/6018,115th Congress (2017-2018),,Trans-Sahara Counterterrorism Partnership Act of 2018,"Rep. McCaul, Michael T. [R-TX-10]",06/06/2018,,,,18,House - Foreign Affairs | Senate - Foreign Relations,11/14/2018,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 6013,https://www.congress.gov/bill/115th-congress/house-bill/6013,115th Congress (2017-2018),,Migratory Bird Framework and Hunting Opportunities for Veterans Act,"Rep. Bishop, Rob [R-UT-1]",06/06/2018,,,,2,House - Natural Resources | Senate - Environment and Public Works,09/26/2018,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.
H.R. 5954,https://www.congress.gov/bill/115th-congress/house-bill/5954,115th Congress (2017-2018),,Anti-Terrorism Clarification Act of 2018,"Rep. Goodlatte, Bob [R-VA-6]",05/24/2018,,,,7,House - Judiciary,07/24/2018,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 527.
H.R. 5938,https://www.congress.gov/bill/115th-congress/house-bill/5938,115th Congress (2017-2018),,Veterans Serving Veterans Act of 2018,"Rep. Gonzalez-Colon, Jenniffer [R-PR-At Large]",05/23/2018,,,,1,House - Veterans' Affairs | Senate - Veterans' Affairs,07/25/2018,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 5935,https://www.congress.gov/bill/115th-congress/house-bill/5935,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 1355 North Meridian Road in Harristown, Illinois, as the ""Logan S. Palmer Post Office"".","Rep. Davis, Rodney [R-IL-13]",05/23/2018,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-296.
H.R. 5882,https://www.congress.gov/bill/115th-congress/house-bill/5882,115th Congress (2017-2018),,Gold Star Spouses Leasing Relief Act,"Rep. Bustos, Cheri [D-IL-17]",05/18/2018,,,,6,House - Veterans' Affairs | Senate - Veterans' Affairs,07/25/2018,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 5841,https://www.congress.gov/bill/115th-congress/house-bill/5841,115th Congress (2017-2018),,Foreign Investment Risk Review Modernization Act of 2018,"Rep. Pittenger, Robert [R-NC-9]",05/16/2018,,,,1,"House - Foreign Affairs, Financial Services, Energy and Commerce, Intelligence (Permanent), Oversight and Government Reform",06/27/2018,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 492.
H.R. 5819,https://www.congress.gov/bill/115th-congress/house-bill/5819,115th Congress (2017-2018),,BURMA Act of 2018,"Rep. Engel, Eliot L. [D-NY-16]",05/15/2018,,,,82,"House - Foreign Affairs, Judiciary, Armed Services",05/17/2018,"Committee Agreed to Seek Consideration Under Suspension of the Rules,."
H.R. 5737,https://www.congress.gov/bill/115th-congress/house-bill/5737,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 108 West D Street in Alpha, Illinois, as the ""Captain Joshua E. Steele Post Office"".","Rep. Bustos, Cheri [D-IL-17]",05/09/2018,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-293.
H.R. 5677,https://www.congress.gov/bill/115th-congress/house-bill/5677,115th Congress (2017-2018),,International Security Assistance Act of 2018,"Rep. Royce, Edward R. [R-CA-39]",05/07/2018,,,,1,House - Foreign Affairs,05/09/2018,"Committee Agreed to Seek Consideration Under Suspension of the Rules, by Unanimous Consent."
H.R. 5649,https://www.congress.gov/bill/115th-congress/house-bill/5649,115th Congress (2017-2018),,"Navy SEAL Chief Petty Officer William ""Bill"" Mulder (Ret.) Transition Improvement Act of 2018","Rep. Arrington, Jodey C. [R-TX-19]",04/27/2018,,,,11,"House - Armed Services, Veterans' Affairs, Ways and Means | Senate - Veterans' Affairs",07/25/2018,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 5576,https://www.congress.gov/bill/115th-congress/house-bill/5576,115th Congress (2017-2018),,Cyber Deterrence and Response Act of 2018,"Rep. Yoho, Ted S. [R-FL-3]",04/18/2018,,,,13,"House - Foreign Affairs, Financial Services, Oversight and Government Reform, Judiciary | Senate - Foreign Relations",09/06/2018,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 5515,https://www.congress.gov/bill/115th-congress/house-bill/5515,115th Congress (2017-2018),,John S. McCain National Defense Authorization Act for Fiscal Year 2019,"Rep. Thornberry, Mac [R-TX-13]",04/13/2018,,,,1,House - Armed Services,08/13/2018,Became Public Law No: 115-232.
H.R. 5504,https://www.congress.gov/bill/115th-congress/house-bill/5504,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 4801 West Van Giesen Street in West Richland, Washington, as the ""Sergeant Dietrich Schmieman Post Office Building"".","Rep. Newhouse, Dan [R-WA-4]",04/13/2018,,,,9,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-292.
H.R. 5412,https://www.congress.gov/bill/115th-congress/house-bill/5412,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 25 2nd Avenue in Brentwood, New York, as the ""Army Specialist Jose L. Ruiz Post Office Building"".","Rep. King, Peter T. [R-NY-2]",03/26/2018,,,,25,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-356.
H.R. 5395,https://www.congress.gov/bill/115th-congress/house-bill/5395,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 116 Main Street in Dansville, New York, as the ""Staff Sergeant Alexandria Gleason-Morrow Post Office Building"".","Rep. Collins, Chris [R-NY-27]",03/22/2018,,,,25,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-355.
H.R. 5329,https://www.congress.gov/bill/115th-congress/house-bill/5329,115th Congress (2017-2018),,Poison Center Network Enhancement Act of 2018,"Rep. Brooks, Susan W. [R-IN-5]",03/19/2018,,,,12,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",06/13/2018,"Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
H.R. 5205,https://www.congress.gov/bill/115th-congress/house-bill/5205,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 701 6th Street in Hawthorne, Nevada, as the ""Sergeant Kenneth Eric Bostic Post Office"".","Rep. Kihuen, Ruben J. [D-NV-4]",03/07/2018,,,,3,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-354.
H.R. 5141,https://www.congress.gov/bill/115th-congress/house-bill/5141,115th Congress (2017-2018),,United States-Israel Security Assistance Authorization Act of 2018,"Rep. Ros-Lehtinen, Ileana [R-FL-27]",03/01/2018,,,,302,"House - Foreign Affairs, Armed Services, Science, Space, and Technology",05/22/2018,Referred to the Subcommittee on Research and Technology.
H.R. 5040,https://www.congress.gov/bill/115th-congress/house-bill/5040,115th Congress (2017-2018),,Export Control Reform Act of 2018,"Rep. Royce, Edward R. [R-CA-39]",02/15/2018,,,,4,"House - Foreign Affairs, Oversight and Government Reform",04/17/2018,"Committee Agreed to Seek Consideration Under Suspension of the Rules, by Unanimous Consent."
H.R. 4960,https://www.congress.gov/bill/115th-congress/house-bill/4960,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 511 East Walnut Street in Columbia, Missouri, as the ""Spc. Sterling William Wyatt Post Office Building"".","Rep. Hartzler, Vicky [R-MO-4]",02/07/2018,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-290.
H.R. 4946,https://www.congress.gov/bill/115th-congress/house-bill/4946,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 1075 North Tustin Street in Orange, California, as the ""Specialist Trevor A. Win'E Post Office"".","Rep. Correa, J. Luis [D-CA-46]",02/06/2018,,,,50,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-289.
H.R. 4913,https://www.congress.gov/bill/115th-congress/house-bill/4913,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 816 East Salisbury Parkway in Salisbury, Maryland, as the ""Sgt. Maj. Wardell B. Turner Post Office Building"".","Rep. Harris, Andy [R-MD-1]",02/02/2018,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/06/2018,Became Public Law No: 115-288.
H.R. 4840,https://www.congress.gov/bill/115th-congress/house-bill/4840,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 567 East Franklin Street in Oviedo, Florida, as the ""Sergeant First Class Alwyn Crendall Cashe Post Office Building"".","Rep. Murphy, Stephanie N. [D-FL-7]",01/18/2018,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-217.
H.R. 4685,https://www.congress.gov/bill/115th-congress/house-bill/4685,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 515 Hope Street in Bristol, Rhode Island, as the ""First Sergeant P. Andrew McKenna Jr. Post Office"".","Rep. Cicilline, David N. [D-RI-1]",12/19/2017,,,,1,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-215.
H.R. 4681,https://www.congress.gov/bill/115th-congress/house-bill/4681,115th Congress (2017-2018),,No Assistance for Assad Act,"Rep. Engel, Eliot L. [D-NY-16]",12/19/2017,,,,25,"House - Foreign Affairs, Financial Services | Senate - Foreign Relations",04/25/2018,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 4646,https://www.congress.gov/bill/115th-congress/house-bill/4646,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 1900 Corporate Drive in Birmingham, Alabama, as the ""Lance Corporal Thomas E. Rivers, Jr. Post Office Building"".","Rep. Palmer, Gary J. [R-AL-6]",12/14/2017,,,,6,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-214.
H.R. 4407,https://www.congress.gov/bill/115th-congress/house-bill/4407,115th Congress (2017-2018),,"An act to designate the facility of the United States Postal Service located at 3s101 Rockwell Street in Warrenville, Illinois, as the ""Corporal Jeffrey Allen Williams Post Office Building"".","Rep. Hultgren, Randy [R-IL-14]",11/15/2017,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/14/2018,Became Public Law No: 115-316.
H.R. 4406,https://www.congress.gov/bill/115th-congress/house-bill/4406,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 99 Macombs Place in New York, New York, as the ""Tuskegee Airmen Post Office Building"".","Rep. Espaillat, Adriano [D-NY-13]",11/15/2017,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-211.
H.R. 4323,https://www.congress.gov/bill/115th-congress/house-bill/4323,115th Congress (2017-2018),,Supporting Veterans in STEM Careers Act,"Rep. Dunn, Neal P. [R-FL-2]",11/09/2017,,,,10,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",09/12/2018,Placed on Senate Legislative Calendar under General Orders. Calendar No. 570.
H.R. 4301,https://www.congress.gov/bill/115th-congress/house-bill/4301,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 201 Tom Hall Street in Fort Mill, South Carolina, as the ""J. Elliott Williams Post Office Building"".","Rep. Norman, Ralph [R-SC-5]",11/08/2017,,,,6,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-210.
H.R. 4300,https://www.congress.gov/bill/115th-congress/house-bill/4300,115th Congress (2017-2018),,"Admiral Lloyd R. ""Joe"" Vasey Pacific War Commemorative Display Establishment Act","Rep. Hanabusa, Colleen [D-HI-1]",11/08/2017,,,,90,House - Natural Resources | Senate - Energy and Natural Resources,05/07/2018,Became Public Law No: 115-170.
H.R. 4299,https://www.congress.gov/bill/115th-congress/house-bill/4299,115th Congress (2017-2018),,"To provide for the indefinite duration of certain military land withdrawals, to improve the management of lands currently subject to such withdrawals and to make the management of such lands more transparent, and for other purposes.","Rep. Bishop, Rob [R-UT-1]",11/08/2017,,,,2,"House - Natural Resources, Armed Services",02/02/2018,"Placed on the Union Calendar, Calendar No. 407."
H.R. 4257,https://www.congress.gov/bill/115th-congress/house-bill/4257,115th Congress (2017-2018),,Advancing Conservation and Education Act,"Rep. Stewart, Chris [R-UT-2]",11/06/2017,,,,3,House - Natural Resources | Senate - Energy and Natural Resources,06/26/2018,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
H.R. 4242,https://www.congress.gov/bill/115th-congress/house-bill/4242,115th Congress (2017-2018),,VA Care in the Community Act,"Rep. Roe, David P. [R-TN-1]",11/03/2017,,,,29,House - Veterans' Affairs,03/05/2018,"Placed on the Union Calendar, Calendar No. 444."
H.R. 4042,https://www.congress.gov/bill/115th-congress/house-bill/4042,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 1415 West Oak Street, in Kissimmee, Florida, as the ""Borinqueneers Post Office Building"".","Rep. Soto, Darren [D-FL-9]",10/12/2017,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/23/2018,Became Public Law No: 115-154.
H.R. 3893,https://www.congress.gov/bill/115th-congress/house-bill/3893,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 100 Mathe Avenue in Interlachen, Florida, as the ""Robert H. Jenkins, Jr. Post Office"".","Rep. Yoho, Ted S. [R-FL-3]",09/28/2017,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/23/2018,Became Public Law No: 115-153.
H.R. 3776,https://www.congress.gov/bill/115th-congress/house-bill/3776,115th Congress (2017-2018),,Cyber Diplomacy Act of 2018,"Rep. Royce, Edward R. [R-CA-39]",09/14/2017,,,,25,House - Foreign Affairs | Senate - Foreign Relations,06/28/2018,Placed on Senate Legislative Calendar under General Orders. Calendar No. 495.
H.R. 3696,https://www.congress.gov/bill/115th-congress/house-bill/3696,115th Congress (2017-2018),,Wounded Warrior Workforce Enhancement Act,"Rep. Cartwright, Matt [D-PA-17]",09/07/2017,,,,17,House - Veterans' Affairs,06/27/2018,Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote .
H.R. 3656,https://www.congress.gov/bill/115th-congress/house-bill/3656,115th Congress (2017-2018),,"To amend title 38, United States Code, to provide for a consistent eligibility date for provision of Department of Veterans Affairs memorial headstones and markers for eligible spouses and dependent children of veterans whose remains are unavailable.","Rep. Banks, Jim [R-IN-3]",08/18/2017,,,,1,House - Veterans' Affairs | Senate - Veterans' Affairs,03/16/2018,Became Public Law No: 115-136.
H.R. 3642,https://www.congress.gov/bill/115th-congress/house-bill/3642,115th Congress (2017-2018),,Military SAVE Act,"Rep. Barr, Andy [R-KY-6]",08/04/2017,,,,74,House - Veterans' Affairs | Senate - Veterans' Affairs,05/22/2018,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 3548,https://www.congress.gov/bill/115th-congress/house-bill/3548,115th Congress (2017-2018),,Border Security for America Act of 2017,"Rep. McCaul, Michael T. [R-TX-10]",07/28/2017,,,,77,"House - Homeland Security, Armed Services, Foreign Affairs, Natural Resources, Agriculture, Transportation and Infrastructure, Ways and Means, Oversight and Government Reform",03/23/2018,"Placed on the Union Calendar, Calendar No. 471."
H.R. 3400,https://www.congress.gov/bill/115th-congress/house-bill/3400,115th Congress (2017-2018),,Recreation Not Red Tape Act,"Rep. Bishop, Rob [R-UT-1]",07/26/2017,,,,13,"House - Natural Resources, Agriculture, Transportation and Infrastructure, Energy and Commerce, Armed Services",12/28/2018,"Placed on the Union Calendar, Calendar No. 864."
H.R. 3329,https://www.congress.gov/bill/115th-congress/house-bill/3329,115th Congress (2017-2018),,Hizballah International Financing Prevention Amendments Act of 2017,"Rep. Royce, Edward R. [R-CA-39]",07/20/2017,,,,114,"House - Foreign Affairs, Financial Services, Judiciary",10/26/2017,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 253.
H.R. 3218,https://www.congress.gov/bill/115th-congress/house-bill/3218,115th Congress (2017-2018),,Harry W. Colmery Veterans Educational Assistance Act of 2017,"Rep. Roe, David P. [R-TN-1]",07/13/2017,,,,121,"House - Veterans' Affairs, Armed Services",08/16/2017,Became Public Law No: 115-48.
H.R. 3184,https://www.congress.gov/bill/115th-congress/house-bill/3184,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 180 McCormick Road in Charlottesville, Virginia, as the ""Captain Humayun Khan Post Office"".","Rep. Garrett, Thomas A., Jr. [R-VA-5]",07/11/2017,,,,10,House - Oversight and Government Reform,12/21/2018,Became Public Law No: 115-347.
H.R. 3183,https://www.congress.gov/bill/115th-congress/house-bill/3183,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 13683 James Madison Highway in Palmyra, Virginia, as the ""U.S. Navy Seaman Dakota Kyle Rigsby Post Office"".","Rep. Garrett, Thomas A., Jr. [R-VA-5]",07/11/2017,,,,10,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-209.
H.R. 3109,https://www.congress.gov/bill/115th-congress/house-bill/3109,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 1114 North 2nd Street in Chillicothe, Illinois, as the ""Sr. Chief Ryan Owens Post Office Building"".","Rep. LaHood, Darin [R-IL-18]",06/29/2017,,,,18,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/23/2018,Became Public Law No: 115-148.
H.R. 3019,https://www.congress.gov/bill/115th-congress/house-bill/3019,115th Congress (2017-2018),,Promoting Value Based Procurement Act of 2017,"Rep. Meadows, Mark [R-NC-11]",06/22/2017,,,,3,House - Oversight and Government Reform,09/13/2017,Ordered to be Reported (Amended) by Voice Vote.
