state,district,member,party,start,end
Alabama,1,"Byrne, Bradley",R,01/03/17,01/03/19
Alabama,2,"Roby, Martha",R,01/03/17,01/03/19
Alabama,3,"Rogers , Mike",R,01/03/17,01/03/19
Alabama,4,"Aderholt, Robert",R,01/03/17,01/03/19
Alabama,5,"Brooks, Mo",R,01/03/17,01/03/19
Alabama,6,"Palmer , Gary",R,01/03/17,01/03/19
Alabama,7,"Sewell, Terri",D,01/03/17,01/03/19
Alaska,1,"Young, Don",R,01/03/17,01/03/19
Arizona,1,"O'Halleran, Tom",D,01/03/17,01/03/19
Arizona,2,"McSally, Martha",R,01/03/17,01/03/19
Arizona,3,"Grijalva, Raúl",D,01/03/17,01/03/19
Arizona,4,"Gosar, Paul",R,01/03/17,01/03/19
Arizona,5,"Biggs, Andy",R,01/03/17,01/03/19
Arizona,6,"Schweikert, David",R,01/03/17,01/03/19
Arizona,7,"Gallego, Ruben",D,01/03/17,01/03/19
Arizona,8,"Franks, Trent",R,01/03/17,01/03/19
Arizona,9,"Sinema, Kyrsten",D,01/03/17,01/03/19
Arkansas,1,"Crawford , Rick",R,01/03/17,01/03/19
Arkansas,2,"Hill , French",R,01/03/17,01/03/19
Arkansas,3,"Womack, Steve",R,01/03/17,01/03/19
Arkansas,4,"Westerman, Bruce",R,01/03/17,01/03/19
California,1,"LaMalfa, Doug",R,01/03/17,01/03/19
California,2,"Huffman, Jared",D,01/03/17,01/03/19
California,3,"Garamendi, John",D,01/03/17,01/03/19
California,4,"McClintock, Tom",R,01/03/17,01/03/19
California,5,"Thompson , Mike",D,01/03/17,01/03/19
California,6,"Matsui, Doris",D,01/03/17,01/03/19
California,7,"Bera, Ami",D,01/03/17,01/03/19
California,8,"Cook , Paul",R,01/03/17,01/03/19
California,9,"McNerney, Jerry",D,01/03/17,01/03/19
California,10,"Denham, Jeff",R,01/03/17,01/03/19
California,11,"DeSaulnier, Mark",D,01/03/17,01/03/19
California,12,"Pelosi, Nancy",D,01/03/17,01/03/19
California,13,"Lee, Barbara",D,01/03/17,01/03/19
California,14,"Speier, Jackie",D,01/03/17,01/03/19
California,15,"Swalwell, Eric",D,01/03/17,01/03/19
California,16,"Costa, Jim",D,01/03/17,01/03/19
California,17,"Khanna, Ro",D,01/03/17,01/03/19
California,18,"Eshoo, Anna",D,01/03/17,01/03/19
California,19,"Lofgren, Zoe",D,01/03/17,01/03/19
California,20,"Panetta, Jimmy",D,01/03/17,01/03/19
California,21,"Valadao, David",R,01/03/17,01/03/19
California,22,"Nunes, Devin",R,01/03/17,01/03/19
California,23,"McCarthy , Kevin",R,01/03/17,01/03/19
California,24,"Carbajal, Salud",D,01/03/17,01/03/19
California,25,"Knight , Steve",R,01/03/17,01/03/19
California,26,"Brownley, Julia",D,01/03/17,01/03/19
California,27,"Chu, Judy",D,01/03/17,01/03/19
California,28,"Schiff, Adam",D,01/03/17,01/03/19
California,29,"Cárdenas, Tony",D,01/03/17,01/03/19
California,30,"Sherman, Brad",D,01/03/17,01/03/19
California,31,"Aguilar, Pete",D,01/03/17,01/03/19
California,32,"Napolitano, Grace",D,01/03/17,01/03/19
California,33,"Lieu, Ted",D,01/03/17,01/03/19
California,34,"Becerra, Xavier",D,01/03/17,01/03/19
California,35,"Torres, Norma",D,01/03/17,01/03/19
California,36,"Ruiz , Raul",D,01/03/17,01/03/19
California,37,"Bass, Karen",D,01/03/17,01/03/19
California,38,"Sánchez, Linda",D,01/03/17,01/03/19
California,39,"Royce, Ed",R,01/03/17,01/03/19
California,40,"Roybal-Allard, Lucille",D,01/03/17,01/03/19
California,41,"Takano, Mark",D,01/03/17,01/03/19
California,42,"Calvert, Ken",R,01/03/17,01/03/19
California,43,"Waters, Maxine",D,01/03/17,01/03/19
California,44,"Barragán, Nanette",D,01/03/17,01/03/19
California,45,"Walters, Mimi",R,01/03/17,01/03/19
California,46,"Correa, Lou",D,01/03/17,01/03/19
California,47,"Lowenthal, Alan",D,01/03/17,01/03/19
California,48,"Rohrabacher, Dana",R,01/03/17,01/03/19
California,49,"Issa, Darrell",R,01/03/17,01/03/19
California,50,"Hunter, Duncan D.",R,01/03/17,01/03/19
California,51,"Vargas, Juan",D,01/03/17,01/03/19
California,52,"Peters , Scott",D,01/03/17,01/03/19
California,53,"Davis , Susan",D,01/03/17,01/03/19
Colorado,1,"DeGette, Diana",D,01/03/17,01/03/19
Colorado,2,"Polis, Jared",D,01/03/17,01/03/19
Colorado,3,"Tipton, Scott",R,01/03/17,01/03/19
Colorado,4,"Buck, Ken",R,01/03/17,01/03/19
Colorado,5,"Lamborn, Doug",R,01/03/17,01/03/19
Colorado,6,"Coffman, Mike",R,01/03/17,01/03/19
Colorado,7,"Perlmutter, Ed",D,01/03/17,01/03/19
Connecticut,1,"Larson, John B.",D,01/03/17,01/03/19
Connecticut,2,"Courtney , Joe",D,01/03/17,01/03/19
Connecticut,3,"DeLauro, Rosa",D,01/03/17,01/03/19
Connecticut,4,"Himes, Jim",D,01/03/17,01/03/19
Connecticut,5,"Esty, Elizabeth",D,01/03/17,01/03/19
Delaware,1,"Blunt Rochester, Lisa",D,01/03/17,01/03/19
Florida,1,"Gaetz, Matt",R,01/03/17,01/03/19
Florida,2,"Dunn, Neal",R,01/03/17,01/03/19
Florida,3,"Yoho, Ted",R,01/03/17,01/03/19
Florida,4,"Rutherford , John",R,01/03/17,01/03/19
Florida,5,"Lawson, Al",D,01/03/17,01/03/19
Florida,6,"DeSantis, Ron",R,01/03/17,01/03/19
Florida,7,"Murphy, Stephanie",D,01/03/17,01/03/19
Florida,8,"Posey, Bill",R,01/03/17,01/03/19
Florida,9,"Soto, Darren",D,01/03/17,01/03/19
Florida,10,"Demings, Val",D,01/03/17,01/03/19
Florida,11,"Webster , Daniel",R,01/03/17,01/03/19
Florida,12,"Bilirakis, Gus",R,01/03/17,01/03/19
Florida,13,"Crist, Charlie",D,01/03/17,01/03/19
Florida,14,"Castor, Kathy",D,01/03/17,01/03/19
Florida,15,"A. Ross, Dennis",R,01/03/17,01/03/19
Florida,16,"Buchanan, Vern",R,01/03/17,01/03/19
Florida,17,"Rooney , Tom",R,01/03/17,01/03/19
Florida,18,"Mast, Brian",R,01/03/17,01/03/19
Florida,19,"Rooney, Francis",R,01/03/17,01/03/19
Florida,20,"Hastings, Alcee",D,01/03/17,01/03/19
Florida,21,"Frankel, Lois",D,01/03/17,01/03/19
Florida,22,"Deutch, Ted",D,01/03/17,01/03/19
Florida,23,"Wasserman Schultz, Debbie",D,01/03/17,01/03/19
Florida,24,"Wilson, Frederica",D,01/03/17,01/03/19
Florida,25,"Díaz-Balart, Mario",R,01/03/17,01/03/19
Florida,26,"Curbelo , Carlos",R,01/03/17,01/03/19
Florida,27,"Ros-Lehtinen, Ileana",R,01/03/17,01/03/19
Georgia,1,"Carter, Buddy",R,01/03/17,01/03/19
Georgia,2,"Bishop, Sanford",D,01/03/17,01/03/19
Georgia,3,"Ferguson , Drew",R,01/03/17,01/03/19
Georgia,4,"Johnson, Hank",D,01/03/17,01/03/19
Georgia,5,"Lewis , John",D,01/03/17,01/03/19
Georgia,6,"Price , Tom",R,01/03/17,01/03/19
Georgia,7,"Woodall, Rob",R,01/03/17,01/03/19
Georgia,8,"Scott , Austin",R,01/03/17,01/03/19
Georgia,9,"Collins , Doug",R,01/03/17,01/03/19
Georgia,10,"Hice, Jody",R,01/03/17,01/03/19
Georgia,11,"Loudermilk, Barry",R,01/03/17,01/03/19
Georgia,12,"Allen, Rick W.",R,01/03/17,01/03/19
Georgia,13,"Scott , David",D,01/03/17,01/03/19
Georgia,14,"Graves, Tom",R,01/03/17,01/03/19
Hawaii,1,"Hanabusa, Colleen",D,01/03/17,01/03/19
Hawaii,2,"Gabbard, Tulsi",D,01/03/17,01/03/19
Idaho,1,"Labrador, Raúl",R,01/03/17,01/03/19
Idaho,2,"Simpson, Mike",R,01/03/17,01/03/19
Illinois,1,"Rush, Bobby",D,01/03/17,01/03/19
Illinois,2,"Kelly, Robin",D,01/03/17,01/03/19
Illinois,3,"Lipinski, Dan",D,01/03/17,01/03/19
Illinois,4,"Gutiérrez, Luis",D,01/03/17,01/03/19
Illinois,5,"Quigley , Mike",D,01/03/17,01/03/19
Illinois,6,"Roskam, Peter",R,01/03/17,01/03/19
Illinois,7,"Davis, Danny K.",D,01/03/17,01/03/19
Illinois,8,"Krishnamoorthi, Raja",D,01/03/17,01/03/19
Illinois,9,"Schakowsky, Jan",D,01/03/17,01/03/19
Illinois,10,"Schneider, Brad",D,01/03/17,01/03/19
Illinois,11,"Foster , Bill",D,01/03/17,01/03/19
Illinois,12,"Bost, Mike",R,01/03/17,01/03/19
Illinois,13,"Davis , Rodney",D,01/03/17,01/03/19
Illinois,14,"Hultgren, Randy",R,01/03/17,01/03/19
Illinois,15,"Shimkus, John",R,01/03/17,01/03/19
Illinois,16,"Kinzinger, Adam",R,01/03/17,01/03/19
Illinois,17,"Bustos, Cheri",D,01/03/17,01/03/19
Illinois,18,"LaHood, Darin",R,01/03/17,01/03/19
Indiana,1,"Visclosky, Pete",D,01/03/17,01/03/19
Indiana,2,"Walorski, Jackie",R,01/03/17,01/03/19
Indiana,3,"Banks, Jim",R,01/03/17,01/03/19
Indiana,4,"Rokita, Todd",R,01/03/17,01/03/19
Indiana,5,"Brooks, Susan",R,01/03/17,01/03/19
Indiana,6,"Messer, Luke",R,01/03/17,01/03/19
Indiana,7,"Carson, André",D,01/03/17,01/03/19
Indiana,8,"Bucshon, Larry",R,01/03/17,01/03/19
Indiana,9,"Hollingsworth, Trey",R,01/03/17,01/03/19
Iowa,1,"Blum, Rod",R,01/03/17,01/03/19
Iowa,2,"Loebsack, Dave",D,01/03/17,01/03/19
Iowa,3,"Young , David",R,01/03/17,01/03/19
Iowa,4,"King, Steve",R,01/03/17,01/03/19
Kansas,1,"Marshall , Roger",R,01/03/17,01/03/19
Kansas,2,"Jenkins, Lynn",R,01/03/17,01/03/19
Kansas,3,"Yoder, Kevin",R,01/03/17,01/03/19
Kansas,4,"Pompeo, Mike",R,01/03/17,01/03/19
Kentucky,1,"Comer , James",R,01/03/17,01/03/19
Kentucky,2,"Guthrie, Brett",R,01/03/17,01/03/19
Kentucky,3,"Yarmuth, John",D,01/03/17,01/03/19
Kentucky,4,"Massie, Thomas",R,01/03/17,01/03/19
Kentucky,5,"Rogers, Hal",R,01/03/17,01/03/19
Kentucky,6,"Barr , Andy",R,01/03/17,01/03/19
Louisiana,1,"Scalise, Steve",R,01/03/17,01/03/19
Louisiana,2,"Richmond, Cedric",D,01/03/17,01/03/19
Louisiana,3,"Higgins, Clay",R,01/03/17,01/03/19
Louisiana,4,"Johnson , Mike",R,01/03/17,01/03/19
Louisiana,5,"Abraham , Ralph",R,01/03/17,01/03/19
Louisiana,6,"Graves, Garret",R,01/03/17,01/03/19
Maine,1,"Pingree, Chellie",D,01/03/17,01/03/19
Maine,2,"Poliquin, Bruce",R,01/03/17,01/03/19
Maryland,1,"Harris , Andy",R,01/03/17,01/03/19
Maryland,2,"Ruppersberger, Dutch",D,01/03/17,01/03/19
Maryland,3,"Sarbanes, John",D,01/03/17,01/03/19
Maryland,4,"Brown, Anthony G.",D,01/03/17,01/03/19
Maryland,5,"Hoyer, Steny",D,01/03/17,01/03/19
Maryland,6,"Delaney , John",D,01/03/17,01/03/19
Maryland,7,"Cummings, Elijah",D,01/03/17,01/03/19
Maryland,8,"Raskin, Jamie",D,01/03/17,01/03/19
Massachusetts,1,"Neal, Richard",D,01/03/17,01/03/19
Massachusetts,2,"McGovern , Jim",D,01/03/17,01/03/19
Massachusetts,3,"Tsongas, Niki",D,01/03/17,01/03/19
Massachusetts,4,"Kennedy, Joseph P., III",D,01/03/17,01/03/19
Massachusetts,5,"Clark, Katherine",D,01/03/17,01/03/19
Massachusetts,6,"Moulton, Seth",D,01/03/17,01/03/19
Massachusetts,7,"Capuano, Mike",D,01/03/17,01/03/19
Massachusetts,8,Lynch Stephen F.,D,01/03/17,01/03/19
Massachusetts,9,"Keating , Bill",D,01/03/17,01/03/19
Michigan,1,"Bergman, Jack",R,01/03/17,01/03/19
Michigan,2,"Huizenga, Bill",R,01/03/17,01/03/19
Michigan,3,"Amash, Justin",R,01/03/17,01/03/19
Michigan,4,"Moolenaar, John",R,01/03/17,01/03/19
Michigan,5,"Kildee, Dan",D,01/03/17,01/03/19
Michigan,6,"Upton, Fred",R,01/03/17,01/03/19
Michigan,7,"Walberg, Tim",R,01/03/17,01/03/19
Michigan,8,"Bishop , Mike",R,01/03/17,01/03/19
Michigan,9,"Levin, Sander",D,01/03/17,01/03/19
Michigan,10,"Mitchell , Paul",R,01/03/17,01/03/19
Michigan,11,"Trott , Dave",R,01/03/17,01/03/19
